2022-04-14 02:53:48,688 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 02:53:48,691 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 02:53:48,692 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 02:53:48,694 | bot | INFO | Cog loaded: CPcommands
2022-04-14 02:53:48,697 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 06:39:08,658 | main | INFO | Starting program...
2022-04-14 06:39:08,660 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 06:39:08,727 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 06:39:08,728 | bot | INFO | Bot Subclass Created.
2022-04-14 06:39:08,736 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 06:39:08,738 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 06:39:08,739 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 06:39:08,746 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 06:39:08,749 | bot | INFO | Cog loaded: CPcommands
2022-04-14 08:39:39,673 | main | INFO | Starting program...
2022-04-14 08:39:39,675 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 08:39:39,746 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 08:39:39,748 | bot | INFO | Bot Subclass Created.
2022-04-14 08:39:39,756 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 08:39:39,761 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 08:39:39,766 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 08:39:39,771 | bot | INFO | Cog loaded: CPcommands
2022-04-14 08:39:39,779 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 08:53:40,794 | main | INFO | Starting program...
2022-04-14 08:53:40,795 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 08:53:40,843 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 08:53:40,844 | bot | INFO | Bot Subclass Created.
2022-04-14 08:53:40,846 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 08:53:40,848 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 08:53:40,850 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 08:53:40,852 | bot | INFO | Cog loaded: CPcommands
2022-04-14 08:53:40,853 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 10:23:35,861 | main | INFO | Starting program...
2022-04-14 10:23:35,863 | asyncio | DEBUG | Using selector: EpollSelector
